Nominated Position Location (State),Nominated Occupation (Major Group),3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020,12/31/2020,3/31/2021,6/30/2021,9/30/2021,12/31/2021,3/31/2022,6/30/2022,9/30/2022,12/31/2022
ACT,1 Managers,169,176,185,168,195,192,211,183,211,219,215,194,206,201,204,162,197,173,188,148,161,144,128,112,124,102,96,75,89,81,71,71,64,62,50,44,46,41,45,39
ACT,2 Professionals,886,810,865,683,853,771,813,625,778,726,739,558,709,640,686,538,683,647,635,500,598,584,634,513,590,534,571,428,510,460,398,383,345,308,284,258,265,249,291,261
ACT,3 Technicians and Trades Workers,248,260,275,257,320,317,331,294,333,332,317,277,302,289,291,281,331,342,357,315,355,410,430,375,407,408,384,316,349,315,284,293,307,286,277,264,254,237,243,216
ACT,4 Community and Personal Service Workers,31,42,41,24,39,43,42,31,49,45,47,34,46,33,35,26,33,26,24,24,28,24,27,22,21,19,13,12,11,7,6,<5,6,8,11,14,16,21,19,18
ACT,5 Clerical and Administrative Workers,31,36,36,23,30,30,30,27,27,28,23,17,18,14,14,12,9,7,7,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,,<5,<5,<5,<5,<5,5,6,6
ACT,6 Sales Workers,5,7,7,8,9,9,11,9,9,11,11,12,8,12,15,15,16,17,18,17,16,16,17,15,16,15,13,14,15,11,<5,<5,,,,<5,5,10,10,9
ACT,8 Labourers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<5,<5
ACT,Not Applicable,"1,141","1,054","1,042",945,"1,056","1,031","1,034","1,004","1,151","1,167","1,115","1,029","1,088","1,053","1,060",956,"1,065","1,012","1,023",879,966,949,955,892,996,881,871,737,841,750,676,670,616,529,488,480,467,456,479,487
ACT,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5
NSW,1 Managers,"6,988","7,342","7,969","7,464","8,692","8,589","8,941","8,036","9,293","9,164","9,332","8,298","9,120","8,756","8,803","7,800","8,752","7,913","7,795","6,726","7,132","6,730","6,721","5,865","6,476","5,714","5,342","4,263","5,046","4,515","3,987","3,596","3,385","3,236","2,998","2,600","2,817","2,679","3,016","2,921"
